order_id,customer_id,product_id,quantity,unit_price,total_price,order_date,shipping_address,payment_method,status
55,889,591,1,656.08,2981.64,2022-08-07,5223 Macpherson Park,PayPal,shipped
56,645,75,61,128.89,1210.12,2020-04-28,06 Grim Drive,Apple Pay,pending
57,274,388,94,143.25,6586.78,2020-07-11,91091 Debs Plaza,Apple Pay,shipped
58,562,350,30,164.45,5822.86,2022-03-05,65 New Castle Pass,credit card,shipped
59,479,648,44,447.61,4526.78,2021-05-07,6 4th Drive,PayPal,processing
60,34,555,21,198.66,7114.05,2021-08-09,7078 Huxley Avenue,PayPal,shipped
61,254,859,79,697.27,2943.17,2020-11-01,58606 Quincy Pass,Apple Pay,pending
62,566,26,88,281.7,7014.2,2021-02-05,2 Farwell Way,Apple Pay,pending
63,145,421,68,333.1,8315.3,2022-06-20,192 Randy Parkway,PayPal,processing
64,331,845,96,836.99,3552.34,2022-05-28,45948 Fallview Parkway,PayPal,delivered
65,664,805,27,420.21,5939.26,2022-02-07,85734 Mitchell Parkway,Apple Pay,shipped
66,683,208,93,288.13,6715.18,2020-02-10,0301 Corben Park,credit card,delivered
67,739,264,16,812.15,8352.08,2021-05-17,0 Susan Plaza,credit card,processing
68,674,98,39,91.68,4153.99,2022-03-28,594 South Way,PayPal,pending
69,204,897,19,926.3,6029.73,2021-07-07,7150 Lindbergh Junction,Apple Pay,shipped
70,153,590,61,14.96,7412.57,2020-09-01,27745 Autumn Leaf Center,PayPal,pending
71,981,638,46,437.09,5006.42,2020-05-01,89 Karstens Crossing,PayPal,pending
72,101,837,49,159.54,3338.87,2020-01-30,45 Autumn Leaf Court,PayPal,processing
73,789,41,49,949.31,5189.64,2022-06-13,230 Tomscot Lane,PayPal,pending
74,445,40,62,863.91,3370.24,2020-02-06,7 Quincy Drive,Apple Pay,processing
75,329,827,14,182.27,3352.01,2021-09-08,7 Blue Bill Park Drive,Apple Pay,pending
76,156,493,78,964.55,99.99,2020-04-17,6135 Forest Dale Avenue,Apple Pay,processing
77,939,196,29,540.13,2342.06,2020-04-15,197 Green Ridge Place,PayPal,delivered
78,554,985,94,175.28,5461.91,2021-07-18,744 Springs Avenue,Apple Pay,pending
79,287,146,78,805.62,2084.75,2021-10-21,65 Calypso Circle,credit card,shipped
80,278,339,49,731.0,8881.16,2021-12-29,46 Corben Road,credit card,processing
81,75,510,75,950.54,7355.26,2021-05-11,29964 5th Terrace,credit card,pending
82,136,187,28,532.69,157.2,2022-09-25,0260 Bellgrove Point,credit card,delivered
83,962,356,62,496.61,4176.0,2022-11-05,7 Loftsgordon Avenue,Apple Pay,processing
84,502,745,58,173.4,6242.25,2022-06-13,762 Reinke Road,Apple Pay,delivered
85,295,325,18,537.35,5662.46,2022-01-08,1059 Eastlawn Center,credit card,delivered
86,555,947,68,697.83,7703.1,2022-12-03,64 Bartelt Lane,Apple Pay,delivered
87,546,954,99,762.75,6675.1,2021-12-16,85 Harbort Lane,PayPal,delivered
88,248,420,83,465.07,1319.99,2020-01-22,43783 Atwood Drive,PayPal,shipped
89,594,714,72,316.67,4103.36,2020-04-06,4380 Sachtjen Court,Apple Pay,shipped
90,242,697,65,849.05,8216.11,2022-01-03,55 Talmadge Junction,PayPal,processing
91,779,521,77,54.13,3322.92,2021-02-07,53 Grasskamp Street,credit card,processing
92,730,276,19,473.13,4302.99,2020-11-24,20 Forest Run Pass,PayPal,processing
93,658,100,97,434.55,5738.59,2021-08-12,01578 Russell Center,Apple Pay,processing
94,369,238,60,838.21,7527.07,2020-02-16,50 Farmco Hill,Apple Pay,shipped
95,237,762,96,994.11,1739.88,2022-01-18,0 Delladonna Junction,credit card,shipped
96,41,17,76,114.71,4841.16,2022-03-15,038 Lillian Road,Apple Pay,processing
97,433,167,11,253.35,70.97,2021-06-29,852 Maywood Hill,Apple Pay,shipped
98,233,819,1,417.48,8522.71,2022-08-14,31366 Claremont Way,credit card,shipped
99,415,363,81,561.79,5451.33,2022-03-10,17 Killdeer Plaza,credit card,processing
100,975,351,58,414.75,7405.38,2020-07-04,21 7th Street,PayPal,pending
101,870,926,19,971.46,9222.34,2022-11-13,19 Vera Crossing,credit card,shipped
102,832,540,45,356.21,4426.1,2021-10-16,4 Boyd Alley,credit card,processing
103,531,242,20,332.5,3592.56,2022-01-09,264 Eagan Parkway,credit card,processing
104,380,917,9,48.76,2779.5,2022-10-30,94 Waywood Point,PayPal,shipped
105,994,796,15,277.56,6405.87,2021-10-10,03 Jay Point,Apple Pay,processing
106,290,219,54,294.75,4667.31,2020-12-20,36 Wayridge Terrace,PayPal,pending
107,85,598,69,424.99,1493.36,2021-08-26,8 Transport Street,Apple Pay,shipped
108,409,658,9,444.08,5930.71,2022-11-28,605 Cody Hill,Apple Pay,processing
109,494,696,7,937.13,6805.58,2021-07-19,276 Oxford Pass,Apple Pay,shipped
110,54,470,96,317.8,3197.11,2020-10-18,6 Almo Alley,Apple Pay,processing
111,632,415,10,424.6,4940.1,2021-05-22,394 Steensland Hill,PayPal,pending
112,647,898,94,592.85,4288.72,2021-02-09,75 Mayfield Junction,PayPal,delivered
113,818,245,72,37.86,3499.2,2021-06-13,109 Ohio Avenue,PayPal,processing
114,475,308,96,398.55,7157.2,2020-04-22,3707 Dunning Park,PayPal,delivered
115,211,791,100,202.8,5795.9,2021-04-12,163 Blaine Plaza,PayPal,shipped
116,851,218,44,957.33,8093.75,2022-10-02,6255 Beilfuss Alley,credit card,pending
117,44,774,29,507.73,9178.52,2021-12-21,1 Nobel Point,Apple Pay,delivered
118,249,629,13,531.58,7897.35,2021-12-07,17632 Morrow Hill,PayPal,pending
119,128,319,72,194.48,8918.85,2020-05-28,3128 Hazelcrest Place,PayPal,pending
120,196,94,63,346.4,3542.38,2021-05-19,3665 Crest Line Circle,PayPal,shipped
121,51,13,36,871.17,6660.71,2020-01-02,5 Michigan Way,Apple Pay,pending
122,281,939,98,426.35,2490.03,2021-05-15,08 Derek Junction,credit card,pending
123,436,220,80,221.47,5803.49,2022-07-06,038 Darwin Lane,PayPal,shipped
124,388,584,60,865.38,5748.38,2020-04-10,4354 Elka Plaza,PayPal,processing
125,139,975,16,207.61,6805.23,2020-07-01,2 Lotheville Drive,Apple Pay,pending
126,747,792,97,1.38,3384.92,2022-09-27,88282 Anzinger Street,credit card,processing
127,126,890,33,556.48,3458.4,2022-02-02,323 Huxley Lane,Apple Pay,pending
128,334,35,27,75.41,6443.8,2020-02-27,5 Cody Terrace,credit card,processing
129,862,776,63,817.43,8766.13,2021-07-02,18403 Tennessee Way,Apple Pay,shipped
130,111,793,72,728.02,3618.99,2021-12-22,21 Comanche Alley,Apple Pay,shipped
131,385,71,7,566.03,6381.56,2021-02-19,6 Sutteridge Road,Apple Pay,shipped
132,339,740,4,122.07,6905.29,2020-07-22,60 Truax Park,Apple Pay,pending
133,227,27,28,116.32,5829.65,2022-08-20,101 Melody Plaza,PayPal,shipped
134,711,290,58,636.57,2973.71,2021-02-14,511 Namekagon Hill,credit card,delivered
135,316,343,33,359.46,8912.81,2022-02-26,37 Miller Circle,credit card,shipped
136,448,22,10,112.12,5894.03,2020-02-05,4407 Novick Plaza,Apple Pay,pending
137,979,382,75,234.55,9702.85,2021-01-16,67160 Esker Lane,credit card,processing
138,183,825,22,219.79,362.25,2022-04-30,748 Maple Crossing,Apple Pay,processing
139,894,893,75,631.98,3116.88,2020-11-07,98171 Schurz Alley,Apple Pay,pending
140,881,2,32,46.78,9429.09,2021-09-17,67 Morning Way,Apple Pay,delivered
141,815,1000,85,185.2,3184.97,2021-11-03,856 Lillian Park,credit card,pending
142,669,384,52,29.18,3893.81,2021-08-11,69 Sloan Center,credit card,processing
143,829,702,7,423.96,7653.14,2021-06-07,14 Meadow Ridge Park,PayPal,delivered
144,553,4,35,504.27,4672.39,2022-05-23,4 Valley Edge Hill,Apple Pay,pending
145,524,10,58,122.07,344.28,2021-04-26,77 Arrowood Street,Apple Pay,delivered
146,476,813,62,645.37,4655.1,2022-03-02,45460 Blackbird Lane,Apple Pay,processing
147,519,970,85,539.85,8655.88,2021-06-11,2 Dexter Pass,PayPal,shipped
148,574,966,43,627.47,1763.0,2022-12-11,89 Morning Terrace,PayPal,processing
149,351,76,73,894.88,5375.23,2020-05-10,3485 Sloan Point,credit card,delivered
150,22,257,54,206.51,9718.89,2021-11-15,6 West Trail,Apple Pay,delivered
151,303,335,76,254.85,9322.61,2022-07-02,2101 Hovde Trail,credit card,delivered
152,116,275,61,735.68,9088.0,2021-11-10,00175 American Ash Junction,credit card,delivered
153,539,332,87,515.56,2142.8,2022-08-06,58248 Lighthouse Bay Park,credit card,delivered
154,165,972,46,640.16,7832.27,2021-01-13,5 Mccormick Avenue,credit card,pending
155,310,503,97,914.5,673.65,2022-12-23,40849 Scott Junction,credit card,delivered
156,694,491,30,721.96,2658.71,2021-06-02,39837 Elgar Plaza,credit card,pending
157,372,941,19,9.32,236.4,2022-10-28,62869 Tomscot Street,PayPal,shipped
158,863,452,91,719.6,4528.81,2021-11-15,16 Hallows Park,PayPal,pending
159,732,965,49,315.71,7921.81,2020-07-25,3 Grover Parkway,credit card,pending
160,934,469,1,205.91,2884.58,2020-03-11,795 Elka Place,Apple Pay,processing
161,421,322,75,228.83,1727.09,2021-10-01,9480 Scofield Road,Apple Pay,delivered
162,80,227,37,188.23,6930.4,2022-05-11,5856 Jenna Avenue,PayPal,delivered
163,199,88,2,165.92,3211.56,2021-08-24,6 Kim Place,credit card,delivered
164,392,157,71,637.89,8643.84,2020-12-29,3830 Doe Crossing Park,Apple Pay,delivered
165,273,518,25,952.57,8288.9,2020-09-29,15 Shopko Lane,Apple Pay,processing
166,400,450,48,13.89,7391.51,2022-05-30,9959 Sauthoff Trail,PayPal,processing
167,733,427,93,680.99,5749.69,2021-02-22,85362 Gale Road,PayPal,shipped
168,270,998,89,401.24,3194.62,2022-10-14,6748 Northwestern Pass,Apple Pay,delivered
169,762,201,79,729.3,553.5,2020-05-29,51074 Quincy Way,credit card,shipped
170,918,733,27,690.49,3380.7,2022-03-12,761 Dwight Alley,credit card,processing
171,826,782,80,519.17,2341.66,2022-10-23,547 Graedel Place,credit card,delivered
172,354,25,61,46.02,2499.27,2020-11-27,0780 Hintze Avenue,Apple Pay,delivered
173,699,288,11,314.21,9233.03,2021-03-02,87 Huxley Plaza,Apple Pay,pending
174,766,703,27,511.46,242.29,2020-07-21,1 Texas Junction,credit card,processing
175,221,426,4,144.39,9769.48,2021-11-10,2300 Reinke Place,Apple Pay,processing
176,754,370,34,28.97,9032.08,2022-06-16,06395 Dryden Avenue,credit card,processing
177,968,362,17,849.65,4589.26,2022-12-14,55 Spaight Court,PayPal,pending
178,418,34,44,267.22,5128.37,2021-02-13,1961 Charing Cross Parkway,Apple Pay,pending
179,74,453,80,536.73,3600.39,2020-04-12,20 Lake View Street,credit card,pending
180,412,296,56,864.0,5366.63,2022-10-20,74 Hazelcrest Way,PayPal,pending
181,77,719,58,44.68,4401.85,2020-11-28,2104 Brickson Park Hill,Apple Pay,shipped
182,40,575,62,131.11,1083.85,2020-09-06,599 Northfield Plaza,credit card,shipped
183,565,828,18,603.21,5432.48,2020-07-06,12834 Claremont Crossing,PayPal,processing
184,452,355,32,435.15,1608.76,2020-01-20,6009 Randy Hill,PayPal,pending
185,977,358,53,494.76,2801.9,2020-05-23,1711 Randy Terrace,credit card,processing
186,473,3,10,515.44,7004.29,2022-06-17,85347 Boyd Crossing,PayPal,pending
187,543,799,38,959.62,6158.48,2021-03-30,0 Canary Terrace,credit card,shipped
188,96,283,20,594.49,4200.32,2021-01-31,054 Elka Road,credit card,processing
189,161,274,46,442.43,8843.11,2021-08-16,94 High Crossing Park,credit card,processing
190,319,357,85,764.76,3562.29,2021-08-09,093 Cody Circle,PayPal,delivered
191,32,81,9,66.92,8950.66,2022-10-13,6616 Hoepker Park,credit card,processing
192,2,878,79,697.63,4188.33,2022-06-20,87 Golden Leaf Circle,PayPal,shipped
193,577,596,16,723.44,976.35,2021-10-18,81318 Mayer Hill,PayPal,shipped
194,191,785,17,424.2,2145.3,2021-03-29,536 Briar Crest Place,PayPal,pending
195,143,541,1,129.59,1811.99,2021-12-31,9 Kenwood Drive,credit card,delivered
196,904,955,29,716.98,1111.94,2021-08-28,00 Hermina Point,PayPal,processing
197,120,674,28,309.6,5864.28,2021-08-08,99028 Victoria Way,credit card,processing
198,272,185,64,777.58,8417.46,2021-03-30,276 Darwin Parkway,Apple Pay,delivered
199,240,213,89,959.57,2840.54,2022-03-11,9266 Eastwood Crossing,PayPal,shipped
200,785,289,24,154.85,1990.07,2021-07-08,5719 Ohio Lane,credit card,pending
201,801,130,35,363.17,9036.89,2021-02-22,488 Westend Way,PayPal,delivered
202,796,940,80,396.83,5596.98,2020-10-29,1 Sommers Plaza,Apple Pay,pending
203,243,995,10,413.96,8392.53,2021-08-19,8797 Grover Place,Apple Pay,delivered
204,532,115,39,364.65,6348.58,2020-05-16,237 Pankratz Lane,credit card,delivered
205,28,44,88,176.75,4073.28,2021-12-27,091 Corry Court,credit card,processing
206,413,692,44,213.86,8040.92,2021-08-28,268 Jenna Circle,credit card,processing
207,251,908,2,495.24,3609.66,2022-02-26,8 Dahle Circle,Apple Pay,processing
208,878,962,49,277.99,6481.49,2021-01-17,5 International Avenue,credit card,processing
209,834,266,16,399.37,6362.04,2022-12-02,035 South Way,PayPal,delivered
210,171,577,50,143.12,7421.22,2021-06-06,83074 Donald Center,Apple Pay,pending
211,398,944,53,972.51,7370.05,2021-12-21,65 Evergreen Alley,Apple Pay,shipped
212,919,120,14,713.64,6909.97,2021-04-21,8 Sutteridge Drive,credit card,pending
213,213,912,31,379.04,9505.01,2020-02-02,07 Ridgeview Place,PayPal,delivered
214,422,248,51,522.36,4500.71,2020-10-28,17 Del Mar Crossing,PayPal,processing
215,197,311,32,926.2,3268.06,2021-05-20,81873 Fuller Street,credit card,shipped
216,966,272,83,692.32,7576.77,2022-07-04,42 Drewry Alley,PayPal,processing
217,828,990,71,332.94,8335.64,2020-09-16,632 Forest Pass,credit card,processing
218,660,580,15,930.83,755.2,2022-05-09,66375 Kim Place,Apple Pay,pending
219,437,836,2,458.48,8568.51,2021-11-23,6901 Knutson Plaza,Apple Pay,shipped
220,130,24,23,785.95,96.79,2022-10-01,91134 Nelson Park,credit card,shipped
221,803,270,82,43.23,7671.86,2022-05-15,50 Ramsey Park,credit card,processing
222,998,60,82,815.11,8732.46,2020-11-29,0224 Colorado Court,credit card,shipped
223,483,334,46,868.86,964.5,2020-10-11,401 Namekagon Parkway,PayPal,processing
224,716,758,8,421.27,9623.63,2020-12-24,946 Arizona Parkway,Apple Pay,pending
225,726,882,78,14.78,8537.01,2022-04-16,3779 Atwood Drive,PayPal,delivered
226,971,861,44,136.74,8001.73,2021-07-29,74174 Sugar Drive,credit card,processing
227,449,680,40,267.58,813.22,2021-01-28,63 Leroy Pass,credit card,processing
228,576,960,31,903.36,5796.78,2020-05-26,21616 Crest Line Court,credit card,shipped
229,512,304,38,999.61,1448.19,2021-07-30,0791 Helena Drive,credit card,pending
230,591,874,81,7.59,7269.24,2022-10-29,87830 Hauk Park,PayPal,delivered
231,595,393,95,66.98,9056.73,2022-06-22,22791 Colorado Hill,credit card,processing
232,526,858,35,301.55,7074.18,2020-04-08,45 Dexter Lane,Apple Pay,pending
233,880,622,79,970.94,2537.26,2021-02-05,719 Menomonie Road,credit card,pending
234,756,495,65,474.71,375.65,2020-12-29,86 Steensland Court,credit card,pending
235,932,134,32,821.68,3352.73,2021-04-24,55 Brickson Park Street,Apple Pay,delivered
236,825,953,3,130.38,1395.86,2021-10-26,288 South Parkway,PayPal,shipped
237,425,42,60,540.07,3915.11,2021-08-29,789 Del Mar Way,PayPal,delivered
238,697,870,27,899.62,8819.25,2020-07-08,93669 Randy Road,credit card,processing
239,605,237,93,757.17,8606.53,2022-11-17,8110 Thackeray Road,credit card,pending
240,705,567,18,552.79,8072.12,2020-10-25,47619 Kenwood Trail,credit card,processing
241,564,583,87,10.16,9010.04,2020-04-10,55 Vermont Court,Apple Pay,pending
242,643,515,59,215.17,2089.76,2020-01-31,659 Fremont Drive,Apple Pay,processing
243,906,549,39,840.19,5647.2,2020-04-07,926 Sunnyside Street,Apple Pay,pending
244,6,946,50,917.67,6630.53,2020-07-25,8 Debs Road,Apple Pay,processing
245,498,586,96,401.31,2518.89,2021-03-28,6 Badeau Drive,Apple Pay,pending
246,575,182,30,115.41,636.22,2022-12-04,42 Dapin Point,credit card,shipped
247,712,804,47,993.38,1176.27,2022-05-02,097 Cottonwood Hill,credit card,pending
248,843,254,52,46.29,3751.16,2021-07-29,89516 Alpine Lane,credit card,pending
249,582,627,69,220.15,8520.19,2022-06-10,14 Karstens Place,Apple Pay,processing
250,58,273,18,824.51,4236.62,2021-02-21,930 Myrtle Way,credit card,processing
251,298,471,35,650.28,8659.63,2022-12-24,3007 Forest Run Point,PayPal,delivered
252,805,857,50,426.43,7924.55,2020-11-08,91211 Manufacturers Lane,PayPal,pending
253,527,886,73,325.69,3288.91,2021-06-17,0502 Springs Alley,credit card,processing
254,970,900,39,799.65,1838.82,2020-05-25,38540 Farwell Way,PayPal,delivered
255,285,811,94,517.07,7451.11,2020-01-07,26 Goodland Circle,PayPal,delivered
256,953,481,17,468.39,9028.64,2020-09-16,91 Eagle Crest Road,credit card,shipped
257,426,931,61,337.08,6256.82,2021-12-23,51 Clove Lane,PayPal,shipped
258,435,849,67,974.8,6761.83,2021-11-12,1771 Pine View Avenue,PayPal,pending
259,719,524,55,359.8,2253.22,2020-01-26,669 Briar Crest Pass,Apple Pay,processing
260,289,199,32,637.99,3645.1,2021-03-28,03458 Artisan Pass,credit card,processing
261,386,741,62,647.03,4070.96,2020-05-20,694 Esker Park,credit card,pending
262,799,323,84,162.2,4446.07,2020-07-08,928 West Lane,credit card,processing
263,81,73,68,213.49,9321.02,2022-01-15,661 Longview Court,Apple Pay,pending
264,783,365,78,147.46,1626.74,2022-03-06,21837 Warner Terrace,PayPal,processing
265,328,394,92,477.33,78.85,2021-02-01,74 Tony Parkway,Apple Pay,processing
266,748,754,22,604.63,3410.1,2021-10-06,2 Heffernan Pass,Apple Pay,shipped
267,860,959,99,242.69,4094.29,2020-05-08,20063 La Follette Court,Apple Pay,shipped
268,530,113,84,800.18,9751.39,2020-05-04,78490 Artisan Drive,credit card,delivered
269,102,222,12,890.02,6022.43,2021-07-22,894 Cascade Street,Apple Pay,delivered
270,312,508,21,653.14,1422.0,2020-05-21,8586 Mesta Circle,credit card,pending
271,205,255,44,122.52,430.48,2020-07-24,909 Judy Way,credit card,shipped
272,910,806,12,58.57,4276.93,2022-12-13,4 Porter Drive,PayPal,delivered
273,986,578,71,806.94,2754.1,2021-06-01,76960 Sutherland Avenue,Apple Pay,processing
274,816,628,76,775.85,6448.04,2020-10-31,45 Lerdahl Street,credit card,pending
275,1,829,78,313.95,3902.44,2021-01-04,47 Coleman Junction,PayPal,delivered
276,935,700,12,496.26,5757.03,2020-09-23,17 Nova Terrace,credit card,pending
277,21,561,8,401.74,6141.11,2020-01-31,6 Nova Pass,credit card,delivered
278,563,271,4,776.7,9106.82,2020-06-29,320 Dennis Hill,PayPal,shipped
279,150,313,47,120.48,794.12,2021-01-19,25 Kinsman Junction,credit card,delivered
280,214,97,51,216.43,584.37,2021-08-16,62 Iowa Road,credit card,pending
281,667,84,20,801.11,8628.0,2021-09-13,21569 Fisk Lane,PayPal,delivered
282,742,447,46,326.09,2447.44,2021-12-12,28318 Red Cloud Lane,credit card,processing
283,547,445,53,519.04,7194.99,2020-05-16,4 Mayer Center,PayPal,delivered
284,722,446,40,43.6,2181.05,2022-05-10,13 Kennedy Plaza,PayPal,pending
285,869,665,75,862.55,2884.51,2021-10-02,6822 Northfield Drive,credit card,delivered
286,9,282,82,398.6,5523.76,2022-01-08,86426 South Junction,PayPal,shipped
287,592,670,57,199.22,3803.74,2021-02-09,598 Knutson Junction,PayPal,processing
288,338,795,72,904.16,6827.61,2021-06-26,67 Blaine Lane,PayPal,pending
289,480,814,49,728.89,7826.64,2021-10-27,6182 Armistice Pass,Apple Pay,delivered
290,867,372,59,261.68,1455.04,2021-02-09,3800 Pankratz Pass,PayPal,shipped
291,787,429,26,407.14,5329.74,2022-01-12,8801 Union Street,credit card,pending
292,765,675,21,342.64,5266.15,2020-03-11,7548 Shasta Alley,credit card,processing
293,508,103,16,851.56,2248.28,2021-07-08,5 Kennedy Drive,PayPal,processing
294,961,500,77,362.86,1671.78,2021-09-20,74972 West Trail,Apple Pay,processing
295,283,406,8,507.21,6925.39,2022-09-21,64 Chive Court,PayPal,delivered
296,225,151,34,207.86,4025.34,2021-04-09,2 Dawn Street,Apple Pay,pending
297,33,698,79,599.12,3419.2,2020-05-03,9 Rusk Point,Apple Pay,shipped
298,684,823,89,619.49,6820.17,2020-06-01,8 Commercial Park,credit card,shipped
299,655,731,21,918.48,2244.45,2020-07-08,97 Novick Place,Apple Pay,processing
300,808,16,20,166.9,8330.63,2021-06-20,13 Reinke Drive,credit card,delivered
301,750,265,35,90.22,5796.38,2022-11-13,0961 Kingsford Alley,credit card,processing
302,903,414,20,748.79,2594.52,2022-10-02,2 Garrison Parkway,Apple Pay,processing
303,192,761,11,390.43,1774.74,2020-09-07,0340 Crownhardt Plaza,PayPal,pending
304,109,153,94,216.98,3749.19,2022-11-29,3 Kim Parkway,credit card,delivered
305,399,59,45,123.43,8852.79,2022-02-10,9 Valley Edge Pass,PayPal,pending
306,991,834,45,919.08,6679.82,2020-02-18,76 Sutteridge Place,PayPal,shipped
307,634,815,55,135.96,8626.65,2021-09-14,10 Loftsgordon Road,credit card,shipped
308,942,728,66,771.03,5193.52,2021-11-01,62 Magdeline Circle,Apple Pay,pending
309,710,899,82,219.87,1869.34,2022-12-01,09060 Hansons Hill,Apple Pay,delivered
310,590,18,58,965.22,8344.95,2020-12-20,05 Pleasure Pass,Apple Pay,delivered
311,957,129,78,31.52,9516.41,2021-02-25,462 Merrick Road,Apple Pay,shipped
312,292,689,49,412.48,4218.58,2021-01-09,27 Graceland Court,Apple Pay,shipped
313,545,407,38,148.42,6803.34,2021-08-24,5008 Killdeer Pass,credit card,pending
314,651,442,38,858.37,7774.15,2022-12-08,7815 Hollow Ridge Junction,credit card,shipped
315,691,317,65,245.29,2900.24,2021-09-05,143 Montana Lane,PayPal,processing
316,673,37,29,414.1,3579.98,2020-06-12,5888 Dennis Alley,PayPal,processing
317,536,695,64,445.54,1314.56,2020-03-15,72595 Hoard Road,Apple Pay,pending
318,516,687,83,972.98,1293.85,2022-03-31,04 Scott Court,Apple Pay,delivered
319,112,494,33,639.8,3360.91,2021-12-19,217 Helena Trail,credit card,shipped
320,680,51,93,151.57,5435.15,2022-06-01,3255 Burrows Drive,Apple Pay,processing
321,402,19,38,956.94,1276.03,2022-02-03,92 Waubesa Trail,PayPal,shipped
322,256,28,83,109.19,8497.51,2021-01-19,8 Basil Drive,PayPal,delivered
323,261,978,75,793.86,9564.27,2022-10-05,0 Hanover Parkway,Apple Pay,processing
